Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,Combined_Key,Incident_Rate,Case_Fatality_Ratio
Islamabad,Pakistan,2021-04-01 4:27,33.665087,73.121219,58557,572,47584,10401,"Islamabad, Pakistan",2918.260596,0.976825999
Khyber Pakhtunkhwa,Pakistan,2021-04-01 4:27,34.485332,72.09169,88099,2363,76640,9096,"Khyber Pakhtunkhwa, Pakistan",288.6280156,2.682209787
Punjab,Pakistan,2021-04-01 4:27,30.811346,72.139132,223181,6427,189856,26898,"Punjab, Pakistan",202.8688719,2.879725425
Sindh,Pakistan,2021-04-01 4:27,26.009446,68.776807,265680,4502,256276,4902,"Sindh, Pakistan",554.8171011,1.694519723
,Panama,2021-04-01 4:27,8.538,-80.7821,355051,6114,343904,5033,Panama,8228.739065,1.722006134
,Papua New Guinea,2021-04-01 4:27,-6.314993,143.95555,5991,60,846,5085,Papua New Guinea,66.96079044,1.001502253
,Paraguay,2021-04-01 4:27,-23.4425,-58.4438,214667,4206,175614,34847,Paraguay,3009.689409,1.959313728
Amazonas,Peru,2021-04-01 4:27,-5.077253,-78.050172,23141,788,0,22353,"Amazonas, Peru",5421.977507,3.405211529
Ancash,Peru,2021-04-01 4:27,-9.407125,-77.671795,50871,4301,0,46570,"Ancash, Peru",4308.910723,8.454718799
Apurimac,Peru,2021-04-01 4:27,-14.027713,-72.975378,13616,768,0,12848,"Apurimac, Peru",3161.365219,5.640423032
Arequipa,Peru,2021-04-01 4:27,-15.843524,-72.475539,65386,5841,0,59545,"Arequipa, Peru",4366.635502,8.933104946
Ayacucho,Peru,2021-04-01 4:27,-14.091648,-74.08344,22904,1390,0,21514,"Ayacucho, Peru",3427.716253,6.068808942
Cajamarca,Peru,2021-04-01 4:27,-6.430284,-78.745596,40289,2442,0,37847,"Cajamarca, Peru",2771.479673,6.061207774
Callao,Peru,2021-04-01 4:27,-11.954609,-77.136042,71037,7903,0,63134,"Callao, Peru",6287.01655,11.12518828
Cusco,Peru,2021-04-01 4:27,-13.191068,-72.153609,43298,2833,0,40465,"Cusco, Peru",3190.479699,6.543027392
Huancavelica,Peru,2021-04-01 4:27,-13.023888,-75.00277,10801,737,0,10064,"Huancavelica, Peru",2956.747878,6.823442274
Huanuco,Peru,2021-04-01 4:27,-9.421676,-76.040642,26786,1967,0,24819,"Huanuco, Peru",3523.082994,7.343388337
Ica,Peru,2021-04-01 4:27,-14.235097,-75.574821,44464,5924,0,38540,"Ica, Peru",4559.474979,13.32313782
Junin,Peru,2021-04-01 4:27,-11.541783,-74.876968,50352,4386,0,45966,"Junin, Peru",3698.273963,8.710676835
La Libertad,Peru,2021-04-01 4:27,-7.92139,-78.370238,53637,6857,0,46780,"La Libertad, Peru",2659.510115,12.78408561
Lambayeque,Peru,2021-04-01 4:27,-6.353049,-79.824113,42053,6023,0,36030,"Lambayeque, Peru",3208.19347,14.32240268
Lima,Peru,2021-04-01 4:27,-11.766533,-76.604498,722513,67669,0,654844,"Lima, Peru",6797.88305,9.365783038
Loreto,Peru,2021-04-01 4:27,-4.124847,-74.424115,35772,3739,0,32033,"Loreto, Peru",3481.121059,10.45230907
Madre de Dios,Peru,2021-04-01 4:27,-11.972699,-70.53172,11605,194,0,11411,"Madre de Dios, Peru",6677.21519,1.671693236
Moquegua,Peru,2021-04-01 4:27,-16.860271,-70.839046,21704,1143,0,20561,"Moquegua, Peru",11263.10327,5.266310358
Pasco,Peru,2021-04-01 4:27,-10.39655,-75.307635,10983,668,0,10315,"Pasco, Peru",4039.352703,6.082126923
Piura,Peru,2021-04-01 4:27,-5.133361,-80.335861,57548,8300,0,49248,"Piura, Peru",2809.960938,14.42274275
Puno,Peru,2021-04-01 4:27,-14.995827,-69.922726,25961,2501,0,23460,"Puno, Peru",2097.011309,9.633681291
San Martin,Peru,2021-04-01 4:27,-7.039531,-76.729127,33535,2002,0,31533,"San Martin, Peru",3727.767897,5.969882213
Tacna,Peru,2021-04-01 4:27,-17.644161,-70.27756,21895,1460,0,20435,"Tacna, Peru",5901.617251,6.668189084
Tumbes,Peru,2021-04-01 4:27,-3.857496,-80.545255,13372,1124,0,12248,"Tumbes, Peru",5316.898608,8.405623691
Ucayali,Peru,2021-04-01 4:27,-9.621718,-73.444929,26554,2249,0,24305,"Ucayali, Peru",4507.553896,8.46953378
Unknown,Peru,2021-04-01 4:27,,,8730,207,1468457,0,"Unknown, Peru",,2.371134021
,Philippines,2021-04-01 4:27,12.879721,121.774017,747288,13297,603746,130245,Philippines,681.9498091,1.779367526
,Poland,2021-04-01 4:27,51.9194,19.1451,2321717,53045,1861925,406747,Poland,6134.544961,2.284731516
,Portugal,2021-04-01 4:27,39.3999,-8.2245,821722,16848,778210,26664,Portugal,8058.699735,2.050328457
,Qatar,2021-04-01 4:27,25.3548,51.1839,179964,291,164121,15552,Qatar,6246.450959,0.161699006
,Romania,2021-04-01 4:27,45.9432,24.9668,952803,23538,850672,78593,Romania,4952.795248,2.470395244
Adygea Republic,Russia,2021-04-01 4:27,44.6939006,40.1520421,14101,163,13365,573,"Adygea Republic, Russia",3110.221979,1.155946387
Altai Krai,Russia,2021-04-01 4:27,52.6932243,82.6931424,47137,1832,42198,3107,"Altai Krai, Russia",2005.761506,3.88654348
Altai Republic,Russia,2021-04-01 4:27,50.7114101,86.8572186,16655,191,16268,196,"Altai Republic, Russia",7637.701031,1.146802762
Amur Oblast,Russia,2021-04-01 4:27,52.8032368,128.437295,21887,243,20674,970,"Amur Oblast, Russia",2741.275312,1.110248092
Arkhangelsk Oblast,Russia,2021-04-01 4:27,63.5589686,43.1221646,59687,825,55265,3597,"Arkhangelsk Oblast, Russia",5167.580353,1.382210532
Astrakhan Oblast,Russia,2021-04-01 4:27,47.1878186,47.608851,30712,668,28814,1230,"Astrakhan Oblast, Russia",3018.336848,2.175045585
Bashkortostan Republic,Russia,2021-04-01 4:27,54.8573563,57.1439682,32358,361,27452,4545,"Bashkortostan Republic, Russia",796.349168,1.115643736
Belgorod Oblast,Russia,2021-04-01 4:27,50.7080119,37.5837615,34282,562,32032,1688,"Belgorod Oblast, Russia",2211.918889,1.639344262
Bryansk Oblast,Russia,2021-04-01 4:27,52.8873315,33.415853,35646,284,34786,576,"Bryansk Oblast, Russia",2943.561506,0.796723335
Buryatia Republic,Russia,2021-04-01 4:27,52.7182426,109.492143,36006,785,34392,829,"Buryatia Republic, Russia",3657.2471,2.18019219
Chechen Republic,Russia,2021-04-01 4:27,43.3976147,45.6985005,11657,116,11328,213,"Chechen Republic, Russia",811.2146229,0.995110234
Chelyabinsk Oblast,Russia,2021-04-01 4:27,54.4223954,61.1865846,55396,1222,50488,3686,"Chelyabinsk Oblast, Russia",1585.898342,2.205935447
Chukotka Autonomous Okrug,Russia,2021-04-01 4:27,66.0006475,169.4900869,733,5,691,37,"Chukotka Autonomous Okrug, Russia",1485.369215,0.68212824
Chuvashia Republic,Russia,2021-04-01 4:27,55.4259922,47.0849429,22792,1219,20796,777,"Chuvashia Republic, Russia",1851.326884,5.348367848
Dagestan Republic,Russia,2021-04-01 4:27,43.0574916,47.1332224,31050,1410,28719,921,"Dagestan Republic, Russia",1013.419237,4.541062802
Ingushetia Republic,Russia,2021-04-01 4:27,43.11542075,45.01713552,15120,181,13403,1536,"Ingushetia Republic, Russia",3098.087669,1.197089947
Irkutsk Oblast,Russia,2021-04-01 4:27,56.6370122,104.719221,61581,2010,58655,916,"Irkutsk Oblast, Russia",2561.39789,3.263993764
Ivanovo Oblast,Russia,2021-04-01 4:27,56.9167446,41.4352137,32556,1039,31025,492,"Ivanovo Oblast, Russia",3208.606746,3.191424008
Jewish Autonomous Okrug,Russia,2021-04-01 4:27,48.57527615,132.6630746,4431,125,4230,76,"Jewish Autonomous Okrug, Russia",2734.948832,2.821033627
Kabardino-Balkarian Republic,Russia,2021-04-01 4:27,43.4806048,43.5978976,22792,418,21680,694,"Kabardino-Balkarian Republic, Russia",2632.393501,1.833976834
Kaliningrad Oblast,Russia,2021-04-01 4:27,54.7293041,21.1489473,30240,334,27903,2003,"Kaliningrad Oblast, Russia",3040.421316,1.104497354
Kalmykia Republic,Russia,2021-04-01 4:27,46.2313018,45.3275745,19952,315,19094,543,"Kalmykia Republic, Russia",7244.392966,1.578789094
Kaluga Oblast,Russia,2021-04-01 4:27,54.4382773,35.5272854,32345,281,30156,1908,"Kaluga Oblast, Russia",3195.969393,0.868758695
Kamchatka Krai,Russia,2021-04-01 4:27,57.1914882,160.0383819,14120,201,13212,707,"Kamchatka Krai, Russia",4474.627405,1.423512748
Karachay-Cherkess Republic,Russia,2021-04-01 4:27,43.7368326,41.7267991,19680,71,18785,824,"Karachay-Cherkess Republic, Russia",4220.413678,0.360772358
Karelia Republic,Russia,2021-04-01 4:27,62.6194031,33.4920267,43859,388,41342,2129,"Karelia Republic, Russia",7045.803587,0.884653093
Kemerovo Oblast,Russia,2021-04-01 4:27,54.5335781,87.342861,33258,612,32372,274,"Kemerovo Oblast, Russia",1234.119405,1.840158759
Khabarovsk Krai,Russia,2021-04-01 4:27,51.6312684,136.121524,50641,346,48230,2065,"Khabarovsk Krai, Russia",3812.461323,0.683240852
Khakassia Republic,Russia,2021-04-01 4:27,53.72258845,91.44293627,21849,504,21082,263,"Khakassia Republic, Russia",4064.83192,2.306741727
Khanty-Mansi Autonomous Okrug,Russia,2021-04-01 4:27,61.0259025,69.0982628,54175,782,52662,731,"Khanty-Mansi Autonomous Okrug, Russia",3535.66634,1.443470235
Kirov Oblast,Russia,2021-04-01 4:27,57.9665589,49.4074599,39754,324,36120,3310,"Kirov Oblast, Russia",3097.944419,0.815012326
Komi Republic,Russia,2021-04-01 4:27,63.9881421,54.3326073,41616,805,40420,391,"Komi Republic, Russia",4949.142142,1.934352172
Kostroma Oblast,Russia,2021-04-01 4:27,58.424756,44.2533273,19657,390,16884,2383,"Kostroma Oblast, Russia",3055.536557,1.984026047
Krasnodar Krai,Russia,2021-04-01 4:27,45.7684014,39.0261044,42369,2322,37232,2815,"Krasnodar Krai, Russia",756.1275078,5.480422007
Krasnoyarsk Krai,Russia,2021-04-01 4:27,63.3233807,97.0979974,66784,3162,61816,1806,"Krasnoyarsk Krai, Russia",2321.712833,4.734666986
Kurgan Oblast,Russia,2021-04-01 4:27,55.7655302,64.5632681,19221,352,17492,1377,"Kurgan Oblast, Russia",2273.229912,1.831330316
Kursk Oblast,Russia,2021-04-01 4:27,51.6568453,36.4852695,34014,574,30772,2668,"Kursk Oblast, Russia",3049.934678,1.687540425
Leningrad Oblast,Russia,2021-04-01 4:27,60.1853296,32.3925325,39866,932,37316,1618,"Leningrad Oblast, Russia",2197.907616,2.337831736
Lipetsk Oblast,Russia,2021-04-01 4:27,52.6935178,39.1122664,27606,530,24350,2726,"Lipetsk Oblast, Russia",2400.102243,1.919872491
Magadan Oblast,Russia,2021-04-01 4:27,62.48858785,153.9903764,8255,99,8035,121,"Magadan Oblast, Russia",5729.018467,1.199273168
Mari El Republic,Russia,2021-04-01 4:27,56.5767504,47.8817512,12542,205,11672,665,"Mari El Republic, Russia",1838.105441,1.634508053
Mordovia Republic,Russia,2021-04-01 4:27,54.4419829,44.4661144,19052,203,17039,1810,"Mordovia Republic, Russia",2366.543445,1.065504934
Moscow,Russia,2021-04-01 4:27,55.7504461,37.6174943,1026740,16656,944738,65346,"Moscow, Russia",8209.671987,1.622221789
Moscow Oblast,Russia,2021-04-01 4:27,55.5043158,38.0353929,232261,5441,190628,36192,"Moscow Oblast, Russia",3095.416269,2.34262317
Murmansk Oblast,Russia,2021-04-01 4:27,68.0000418,33.9999151,49068,1080,46965,1023,"Murmansk Oblast, Russia",6511.51804,2.201027146
Nenets Autonomous Okrug,Russia,2021-04-01 4:27,68.27557185,57.1686375,1082,4,1019,59,"Nenets Autonomous Okrug, Russia",2459.258586,0.369685767
Nizhny Novgorod Oblast,Russia,2021-04-01 4:27,55.4718033,44.0911594,107452,2847,101555,3050,"Nizhny Novgorod Oblast, Russia",3321.800249,2.64955515
North Ossetia - Alania Republic,Russia,2021-04-01 4:27,42.7933611,44.6324493,16339,161,15361,817,"North Ossetia - Alania Republic, Russia",2328.272285,0.985372422
Novgorod Oblast,Russia,2021-04-01 4:27,58.2843833,32.5169757,28674,121,25749,2804,"Novgorod Oblast, Russia",4727.96945,0.421985074
Novosibirsk Oblast,Russia,2021-04-01 4:27,54.9720169,79.4813924,38774,1625,35949,1200,"Novosibirsk Oblast, Russia",1390.322674,4.1909527
Omsk Oblast,Russia,2021-04-01 4:27,56.0935263,73.5099936,43776,1316,40523,1937,"Omsk Oblast, Russia",2233.37709,3.00621345
Orel Oblast,Russia,2021-04-01 4:27,52.9685433,36.0692477,32432,501,29746,2185,"Orel Oblast, Russia",4340.198087,1.544770597
Orenburg Oblast,Russia,2021-04-01 4:27,52.0269262,54.7276647,40013,733,36637,2643,"Orenburg Oblast, Russia",2023.188318,1.831904631
Penza Oblast,Russia,2021-04-01 4:27,53.1655415,44.7879181,42019,530,38783,2706,"Penza Oblast, Russia",3155.396856,1.261334158
Perm Krai,Russia,2021-04-01 4:27,58.5951603,56.3159546,51249,1956,45575,3718,"Perm Krai, Russia",1953.740619,3.816659837
Primorsky Krai,Russia,2021-04-01 4:27,45.0819456,134.726645,42358,678,38697,2983,"Primorsky Krai, Russia",2214.17568,1.600642146
Pskov Oblast,Russia,2021-04-01 4:27,57.5358729,28.8586826,34266,244,23527,10495,"Pskov Oblast, Russia",5383.114496,0.71207611
Rostov Oblast,Russia,2021-04-01 4:27,47.6222451,40.7957942,80836,3577,72661,4598,"Rostov Oblast, Russia",1915.339874,4.42500866
Ryazan Oblast,Russia,2021-04-01 4:27,54.4226732,40.5705246,26315,366,24363,1586,"Ryazan Oblast, Russia",2346.465455,1.390841725
Saint Petersburg,Russia,2021-04-01 4:27,59.9606739,30.1586551,394631,12270,347480,34881,"Saint Petersburg, Russia",7373.613469,3.109233689
Sakha (Yakutiya) Republic,Russia,2021-04-01 4:27,66.941626,129.642371,33565,550,32445,570,"Sakha (Yakutiya) Republic, Russia",3480.654963,1.638611649
Sakhalin Oblast,Russia,2021-04-01 4:27,49.7219665,143.448533,22001,39,21662,300,"Sakhalin Oblast, Russia",4488.342061,0.17726467
Samara Oblast,Russia,2021-04-01 4:27,53.2128813,50.8914633,55731,1098,52443,2190,"Samara Oblast, Russia",1745.130912,1.970178177
Saratov Oblast,Russia,2021-04-01 4:27,51.6520555,46.8631952,54784,815,49483,4486,"Saratov Oblast, Russia",2224.324489,1.487660631
Smolensk Oblast,Russia,2021-04-01 4:27,55.0343496,33.0192065,28168,758,26842,568,"Smolensk Oblast, Russia",2967.088992,2.690996876
Stavropol Krai,Russia,2021-04-01 4:27,44.8632577,43.4406913,50442,1227,47472,1743,"Stavropol Krai, Russia",1801.066458,2.432496729
Sverdlovsk Oblast,Russia,2021-04-01 4:27,58.6414755,61.8021546,82516,2735,75855,3926,"Sverdlovsk Oblast, Russia",1907.771471,3.314508701
Tambov Oblast,Russia,2021-04-01 4:27,52.9019574,41.3578918,29408,409,26886,2113,"Tambov Oblast, Russia",2845.333375,1.39077802
Tatarstan Republic,Russia,2021-04-01 4:27,55.7648572,52.43104273,19420,417,16322,2681,"Tatarstan Republic, Russia",498.6796032,2.147270855
Tomsk Oblast,Russia,2021-04-01 4:27,58.6124279,82.0475315,31387,356,30294,737,"Tomsk Oblast, Russia",2910.839485,1.134227546
Tula Oblast,Russia,2021-04-01 4:27,53.9570701,37.3690909,36235,1545,33660,1030,"Tula Oblast, Russia",2428.855351,4.26383331
Tver Oblast,Russia,2021-04-01 4:27,57.1134475,35.1744428,37394,731,35340,1323,"Tver Oblast, Russia",2912.59338,1.954859068
Tyumen Oblast,Russia,2021-04-01 4:27,58.8206488,70.3658837,33599,386,31669,1544,"Tyumen Oblast, Russia",909.9501679,1.148843716
Tyva Republic,Russia,2021-04-01 4:27,51.4017149,93.8582593,15761,197,14907,657,"Tyva Republic, Russia",4898.950025,1.24992069
Udmurt Republic,Russia,2021-04-01 4:27,57.1961165,52.6959832,30672,756,27275,2641,"Udmurt Republic, Russia",2027.171715,2.464788732
Ulyanovsk Oblast,Russia,2021-04-01 4:27,54.1463177,47.2324921,50824,969,47488,2367,"Ulyanovsk Oblast, Russia",4076.950598,1.906579569
Vladimir Oblast,Russia,2021-04-01 4:27,56.0503336,40.6561633,29981,997,27038,1946,"Vladimir Oblast, Russia",2175.157454,3.325439445
Volgograd Oblast,Russia,2021-04-01 4:27,49.6048339,44.2903582,53623,955,51314,1354,"Volgograd Oblast, Russia",2126.819912,1.780952203
Vologda Oblast,Russia,2021-04-01 4:27,60.0391461,43.1215213,42714,902,39805,2007,"Vologda Oblast, Russia",3630.016088,2.111719811
Voronezh Oblast,Russia,2021-04-01 4:27,50.9800393,40.1506507,75155,2401,69769,2985,"Voronezh Oblast, Russia",3220.32867,3.194730889
Yamalo-Nenets Autonomous Okrug,Russia,2021-04-01 4:27,67.1471631,74.3415488,37991,407,36554,1030,"Yamalo-Nenets Autonomous Okrug, Russia",7054.351802,1.071306362
Yaroslavl Oblast,Russia,2021-04-01 4:27,57.7781976,39.0021095,36094,482,34427,1185,"Yaroslavl Oblast, Russia",2851.738665,1.335402006
Zabaykalsky Krai,Russia,2021-04-01 4:27,52.248521,115.956325,41050,590,39556,904,"Zabaykalsky Krai, Russia",3826.414095,1.43727162
,Rwanda,2021-04-01 4:27,-1.9403,29.8739,21783,307,20182,1294,Rwanda,168.1798062,1.40935592
,Saint Kitts and Nevis,2021-04-01 4:27,17.357822,-62.782998,44,0,43,1,Saint Kitts and Nevis,82.7192059,0
,Saint Lucia,2021-04-01 4:27,13.9094,-60.9789,4238,60,4142,36,Saint Lucia,2307.914327,1.415762152
,Saint Vincent and the Grenadines,2021-04-01 4:27,12.9843,-61.2872,1748,10,1587,151,Saint Vincent and the Grenadines,1575.527053,0.57208238
,Samoa,2021-04-01 4:27,-13.759,-172.1046,3,0,2,1,Samoa,1.529597716,0
,San Marino,2021-04-01 4:27,43.9424,12.4578,4732,84,4128,520,San Marino,13943.07266,1.775147929
,Sao Tome and Principe,2021-04-01 4:27,0.1864,6.6131,2223,34,2092,97,Sao Tome and Principe,1014.322804,1.529464687
,Saudi Arabia,2021-04-01 4:27,23.885942,45.079162,390007,6669,378083,5255,Saudi Arabia,1120.263371,1.709969308
,Senegal,2021-04-01 4:27,14.4974,-14.4524,38705,1051,37321,333,Senegal,231.1583959,2.715411446
,Serbia,2021-04-01 4:27,44.0165,21.0059,600596,5308,0,595288,Serbia,6873.876235,0.88378877
,Seychelles,2021-04-01 4:27,-4.6796,55.492,4114,20,3745,349,Seychelles,4183.44519,0.486144871
,Sierra Leone,2021-04-01 4:27,8.460555,-11.779889,3980,79,2812,1089,Sierra Leone,49.89353747,1.984924623
,Singapore,2021-04-01 4:27,1.2833,103.8333,60381,30,60149,202,Singapore,1032.093332,0.049684503
,Slovakia,2021-04-01 4:27,48.669,19.699,707876,9719,255300,442857,Slovakia,12965.60966,1.372980579
,Slovenia,2021-04-01 4:27,46.1512,14.9955,215602,4047,198524,13031,Slovenia,10370.80578,1.877069786
,Solomon Islands,2021-04-01 4:27,-9.6457,160.1562,19,0,18,1,Solomon Islands,2.910280643,0
,Somalia,2021-04-01 4:27,5.152149,46.199616,11398,529,4819,6050,Somalia,71.71611994,4.641165117
,South Africa,2021-04-01 4:27,-30.5595,22.9375,1548157,52846,1474319,20992,South Africa,2610.337541,3.41347809
,South Sudan,2021-04-01 4:27,6.877,31.307,10165,109,9668,388,South Sudan,90.80977394,1.072306936
Andalusia,Spain,2021-04-01 4:27,37.5443,-4.7278,505796,9206,10671,485919,"Andalusia, Spain",6001.80008,1.820101385
Aragon,Spain,2021-04-01 4:27,41.5976,-0.9057,110894,3344,3772,103778,"Aragon, Spain",8397.332699,3.015492272
Asturias,Spain,2021-04-01 4:27,43.3614,-5.8593,47263,1891,1063,44309,"Asturias, Spain",4623.632246,4.001015594
Baleares,Spain,2021-04-01 4:27,39.710358,2.995148,57676,777,1533,55366,"Baleares, Spain",4853.983269,1.347180803
C. Valenciana,Spain,2021-04-01 4:27,39.484,-0.7533,385658,7112,9970,368576,"C. Valenciana, Spain",7751.967902,1.844120957
Canarias,Spain,2021-04-01 4:27,28.2916,-16.6291,46880,676,1537,44667,"Canarias, Spain",2124.245718,1.441979522
Cantabria,Spain,2021-04-01 4:27,43.1828,-3.9878,26077,542,2287,23248,"Cantabria, Spain",4483.349695,2.078459946
Castilla - La Mancha,Spain,2021-04-01 4:27,39.2796,-3.0977,175803,5757,6392,163654,"Castilla - La Mancha, Spain",8639.490249,3.274688145
Castilla y Leon,Spain,2021-04-01 4:27,41.8357,-4.3976,212625,6626,8716,197283,"Castilla y Leon, Spain",8830.921037,3.116284539
Catalonia,Spain,2021-04-01 4:27,41.5912,1.5209,536235,13335,26203,496697,"Catalonia, Spain",7087.026896,2.486782847
Ceuta,Spain,2021-04-01 4:27,35.8894,-5.3213,5121,95,163,4863,"Ceuta, Spain",6036.850605,1.855106425
Extremadura,Spain,2021-04-01 4:27,39.4937,-6.0679,71103,1757,2652,66694,"Extremadura, Spain",6673.681088,2.471063106
Galicia,Spain,2021-04-01 4:27,42.5751,-8.1339,116522,2327,9204,104991,"Galicia, Spain",4314.924859,1.997047768
La Rioja,Spain,2021-04-01 4:27,42.2871,-2.5396,27895,744,3107,24044,"La Rioja, Spain",8895.911931,2.66714465
Madrid,Spain,2021-04-01 4:27,40.4168,-3.7038,625215,14564,40736,569915,"Madrid, Spain",9413.550761,2.329438673
Melilla,Spain,2021-04-01 4:27,35.2923,-2.9381,7861,79,125,7657,"Melilla, Spain",9282.197216,1.004961201
Murcia,Spain,2021-04-01 4:27,37.9922,-1.1307,108542,1562,2180,104800,"Murcia, Spain",7296.141666,1.439074275
Navarra,Spain,2021-04-01 4:27,42.6954,-1.6761,54315,1121,3905,49289,"Navarra, Spain",8356.848107,2.063886587
Pais Vasco,Spain,2021-04-01 4:27,42.9896,-2.6189,162872,3944,16160,142768,"Pais Vasco, Spain",7478.465297,2.421533474
Unknown,Spain,2021-04-01 4:27,,,0,0,0,0,"Unknown, Spain",,
,Sri Lanka,2021-04-01 4:27,7.873054,80.771797,92706,568,89251,2887,Sri Lanka,432.9375503,0.612689578
,Sudan,2021-04-01 4:27,12.8628,30.2176,31833,2063,24214,5556,Sudan,72.59642116,6.480696133
,Suriname,2021-04-01 4:27,3.9193,-56.0278,9122,177,8598,347,Suriname,1554.972947,1.940363955
Blekinge,Sweden,2021-04-01 4:27,56.2784,15.018,8956,120,0,8836,"Blekinge, Sweden",5611.31787,1.339883877
Dalarna,Sweden,2021-04-01 4:27,61.0917,14.6664,18657,310,0,18347,"Dalarna, Sweden",6478.889869,1.661574744
Gavleborg,Sweden,2021-04-01 4:27,61.3012,16.1534,27932,523,0,27409,"Gavleborg, Sweden",9719.467468,1.872404411
Gotland,Sweden,2021-04-01 4:27,57.4684,18.4867,3027,46,0,2981,"Gotland, Sweden",5071.541065,1.519656426
Halland,Sweden,2021-04-01 4:27,56.8967,12.8034,31823,290,0,31533,"Halland, Sweden",9532.182311,0.911290576
Jamtland Harjedalen,Sweden,2021-04-01 4:27,63.1712,14.9592,8519,118,0,8401,"Jamtland Harjedalen, Sweden",6512.499044,1.385139101
Jonkoping,Sweden,2021-04-01 4:27,57.3708,14.3439,33356,535,0,32821,"Jonkoping, Sweden",9173.842612,1.603909342
Kalmar,Sweden,2021-04-01 4:27,57.235,16.1849,15188,222,0,14966,"Kalmar, Sweden",6187.919135,1.461680274
Kronoberg,Sweden,2021-04-01 4:27,56.7183,14.4115,15331,297,0,15034,"Kronoberg, Sweden",7609.607433,1.937251321
Norrbotten,Sweden,2021-04-01 4:27,66.8309,20.3992,16375,238,0,16137,"Norrbotten, Sweden",6547.564306,1.453435115
Orebro,Sweden,2021-04-01 4:27,59.535,15.0066,22112,301,0,21811,"Orebro, Sweden",7254.474172,1.361251809
Ostergotland,Sweden,2021-04-01 4:27,58.3454,15.5198,28154,576,0,27578,"Ostergotland, Sweden",6048.185265,2.04589046
Skane,Sweden,2021-04-01 4:27,55.9903,13.5958,124024,1643,0,122381,"Skane, Sweden",9001.420352,1.324743598
Sormland,Sweden,2021-04-01 4:27,59.0336,16.7519,17511,420,0,17091,"Sormland, Sweden",5885.259125,2.398492376
Stockholm,Sweden,2021-04-01 4:27,59.6025,18.1384,192075,4003,0,188072,"Stockholm, Sweden",8080.288387,2.084081739
Uppsala,Sweden,2021-04-01 4:27,60.0092,17.2715,29210,499,0,28711,"Uppsala, Sweden",7612.460354,1.708319069
Varmland,Sweden,2021-04-01 4:27,59.7294,13.2354,12335,184,0,12151,"Varmland, Sweden",4367.701318,1.491690312
Vasterbotten,Sweden,2021-04-01 4:27,65.3337,16.5162,18195,168,0,18027,"Vasterbotten, Sweden",6695.837136,0.923330585
Vasternorrland,Sweden,2021-04-01 4:27,63.4276,17.7292,17608,428,0,17180,"Vasternorrland, Sweden",7176.77412,2.430713312
Vastmanland,Sweden,2021-04-01 4:27,59.6714,16.2159,20948,332,0,20616,"Vastmanland, Sweden",7594.119886,1.584876838
Vastra Gotaland,Sweden,2021-04-01 4:27,58.2528,13.0596,143550,2212,0,141338,"Vastra Gotaland, Sweden",8317.491183,1.540926506
,Switzerland,2021-04-01 4:27,46.8182,8.2275,601124,10297,317600,273227,Switzerland,6945.702283,1.712957726
,Syria,2021-04-01 4:27,34.802075,38.996815,18909,1265,12731,4913,Syria,108.0473722,6.689936009
,Taiwan*,2021-04-01 4:27,23.7,121,1030,10,981,39,Taiwan*,4.324682918,0.970873786
,Tajikistan,2021-04-01 4:27,38.861,71.2761,13714,91,13218,405,Tajikistan,143.7881606,0.663555491
,Tanzania,2021-04-01 4:27,-6.369028,34.888822,509,21,183,305,Tanzania,0.852107987,4.125736739
,Thailand,2021-04-01 4:27,15.870032,100.992541,28863,94,26873,1896,Thailand,41.3510159,0.325676472
,Timor-Leste,2021-04-01 4:27,-8.874217,125.727539,604,0,189,415,Timor-Leste,45.81164738,0
,Togo,2021-04-01 4:27,8.6195,0.8248,10249,109,7815,2325,Togo,123.7990771,1.063518392
,Trinidad and Tobago,2021-04-01 4:27,10.6918,-61.2225,8026,142,7615,269,Trinidad and Tobago,573.4942204,1.769249938
,Tunisia,2021-04-01 4:27,33.886917,9.537499,254018,8812,217293,27913,Tunisia,2149.303751,3.469045501
,Turkey,2021-04-01 4:27,38.9637,35.2433,3317182,31537,3014226,271419,Turkey,3933.149984,0.950716602
Alabama,US,2021-04-01 4:27,32.53952745,-86.64408227,6589,99,,,"Autauga, Alabama, US",11793.66017,1.502504174
Alabama,US,2021-04-01 4:27,30.72774991,-87.72207058,20505,301,,,"Baldwin, Alabama, US",9185.428743,1.46793465
Alabama,US,2021-04-01 4:27,31.868263,-85.3871286,2227,55,,,"Barbour, Alabama, US",9021.307624,2.469690166
Alabama,US,2021-04-01 4:27,32.99642064,-87.1251146,2542,58,,,"Bibb, Alabama, US",11351.2548,2.281667978
Alabama,US,2021-04-01 4:27,33.98210918,-86.56790593,6444,131,,,"Blount, Alabama, US",11143.77616,2.032898821
Alabama,US,2021-04-01 4:27,32.10030533,-85.71265535,1207,40,,,"Bullock, Alabama, US",11949.31195,3.314001657
Alabama,US,2021-04-01 4:27,31.75300095,-86.68057478,2097,66,,,"Butler, Alabama, US",10782.59975,3.147353362
Alabama,US,2021-04-01 4:27,33.77483727,-85.82630386,14224,305,,,"Calhoun, Alabama, US",12520.57568,2.144263217
Alabama,US,2021-04-01 4:27,32.91360079,-85.39072749,3488,117,,,"Chambers, Alabama, US",10488.96373,3.354357798
